GOTERM,GONAME,Fasta,NaCl60gLRPKM,NaCl20_100_3.6gLRPKM,Treatment
GO:0055085,transmembrane transport,TD01GL000101,1.348368213,2.683445303,20gNaCl
GO:0055085,transmembrane transport,TD01GL000142,1.962458821,2.159208586,20gNaCl
GO:0055085,transmembrane transport,TD01GL000261,1.714212781,0.91720708,20gNaCl
GO:0055085,transmembrane transport,TD01GL000262,2.786294621,1.515985947,20gNaCl
GO:0055085,transmembrane transport,TD01GL000309,1.051362168,1.402326946,20gNaCl
GO:0055085,transmembrane transport,TD01GL000358,2.587981769,3.275779132,20gNaCl
GO:0055085,transmembrane transport,TD01GL000366,1.836670929,2.007412707,20gNaCl
GO:0055085,transmembrane transport,TD01GL000441,1.606420346,1.021129059,20gNaCl
GO:0055085,transmembrane transport,TD01GL000478,1.527217702,1.457619084,20gNaCl
GO:0055085,transmembrane transport,TD01GL000479,1.583655609,1.188411581,20gNaCl
GO:0055085,transmembrane transport,TD01GL000480,1.903505087,1.175694767,20gNaCl
GO:0055085,transmembrane transport,TD01GL000481,2.48874142,1.33855456,20gNaCl
GO:0055085,transmembrane transport,TD01GL000558,1.571329433,1.392103399,20gNaCl
GO:0055085,transmembrane transport,TD01GL000579,0.99937503,1.92002736,20gNaCl
GO:0055085,transmembrane transport,TD01GL000592,1.797499112,1.854626788,20gNaCl
GO:0055085,transmembrane transport,TD01GL000593,1.495140114,1.535956855,20gNaCl
GO:0055085,transmembrane transport,TD01GL000598,1.711339677,1.477813378,20gNaCl
GO:0055085,transmembrane transport,TD01GL000599,1.42050603,0.813220649,20gNaCl
GO:0055085,transmembrane transport,TD01GL000678,1.536129091,1.11882576,20gNaCl
GO:0055085,transmembrane transport,TD01GL000687,2.826740897,0.784519134,20gNaCl
GO:0055085,transmembrane transport,TD01GL000688,2.752444221,0.607111681,20gNaCl
GO:0055085,transmembrane transport,TD01GL000690,3.337149768,1.207359492,20gNaCl
GO:0055085,transmembrane transport,TD01GL000767,1.865439341,1.718104276,20gNaCl
GO:0055085,transmembrane transport,TD01GL000770,2.119432486,2.373902075,20gNaCl
GO:0055085,transmembrane transport,TD01GL000912,1.808575787,1.627751848,20gNaCl
GO:0055085,transmembrane transport,TD01GL000930,1.766203164,1.350429236,20gNaCl
GO:0055085,transmembrane transport,TD01GL000931,1.40025582,1.053223186,20gNaCl
GO:0055085,transmembrane transport,TD01GL000940,1.167765062,0.71736132,20gNaCl
GO:0055085,transmembrane transport,TD01GL000943,2.598029462,2.400988852,20gNaCl
GO:0055085,transmembrane transport,TD01GL000969,1.810487047,1.391145235,20gNaCl
GO:0055085,transmembrane transport,TD01GL000987,1.639975721,1.844498503,20gNaCl
GO:0055085,transmembrane transport,TD01GL001006,2.350767801,1.095412203,20gNaCl
GO:0055085,transmembrane transport,TD01GL001027,1.119574521,0.812351589,20gNaCl
